,SOURCE,ARTICULO,WORDS,TRANSLATE,SENTENCES,READ,HEAR,WRITE,TALK,STATUS
0,BLONDYNA_NEW_ES,,Hola,Czesc,,,,,,
1,BLONDYNA_NEW_ES,,Yo soy,Jestem,,,,,,
2,BLONDYNA_NEW_ES,Un,marinero,marynarz,,,,,,
3,BLONDYNA_NEW_ES,Un,viajero,podroznik,,,,,,
4,BLONDYNA_NEW_ES,Un,capitan,kapitan,,,,,,
5,BLONDYNA_NEW_ES,Un,organizador,organizator,,,,,,
6,BLONDYNA_NEW_ES,Un,director,dyrektor,,,,,,
7,BLONDYNA_NEW_ES,,Yo organizo,organizuje,,,,,,
8,BLONDYNA_NEW_ES,,Yo viajo,podrozuje,,,,,,
9,BLONDYNA_NEW_ES,,Yo administro,zarzadzam,,,,,,
10,BLONDYNA_NEW_ES,Un,barco,statek,,,,,,
11,BLONDYNA_NEW_ES,,Yo tengo,mam,,,,,,
12,BLONDYNA_NEW_ES,,buen,dobry,,,,,,
13,BLONDYNA_NEW_ES,,buena,dobra,,,,,,
14,BLONDYNA_NEW_ES,Una,empresa,firma,,,,,,
15,BLONDYNA_NEW_ES,Un,hombre,czlowiek,,,,,,
16,BLONDYNA_NEW_ES,Una,vida,zycie,,,,,,
17,BLONDYNA_NEW_ES,,mi,moje,,,,,,
18,BLONDYNA_NEW_ES,,eso,to,,,,,,
19,BLONDYNA_NEW_ES,,es,jest,,,,,,
20,BLONDYNA_NEW_ES,,El,on,,,,,,
21,BLONDYNA_NEW_ES,,El es,on jest,,,,,,
22,BLONDYNA_NEW_ES,,quien,kim,,,,,,
23,BLONDYNA_NEW_ES,,de verdad,naprawde,,,,,,
24,BLONDYNA_NEW_ES,,si,tak,,,,,,
25,BLONDYNA_NEW_ES,,El administra,on zarzadza,,,,,,
26,BLONDYNA_NEW_ES,,su,jego,,,,,,
27,BLONDYNA_NEW_ES,,El vieja,on podrozuje,,,,,,
28,BLONDYNA_NEW_ES,,eventos,imprezy,,,,,,
29,BLONDYNA_NEW_ES,,Yo tengo,mam,,,,,,
30,BLONDYNA_NEW_ES,Una,casa,dom,,,,,,
31,BLONDYNA_NEW_ES,Un,trabajo,praca,,,,,,
32,BLONDYNA_NEW_ES,Una,esposa,zona,,,,,,
33,BLONDYNA_NEW_ES,Un,marido,maz,,,,,,
34,BLONDYNA_NEW_ES,,hijos,dzieci,,,,,,
35,BLONDYNA_NEW_ES,,tienes,masz,,,,,,
36,BLONDYNA_NEW_ES,,cuantos,ile,,,,,,
37,BLONDYNA_NEW_ES,,dos,dwa,,,,,,
38,BLONDYNA_NEW_ES,Un,nino,chlopiec,,,,,,
39,BLONDYNA_NEW_ES,Una,nina,dziewczynka,,,,,,
40,BLONDYNA_NEW_ES,,dos ninios,dwoch chlopcow,,,,,,
41,BLONDYNA_NEW_ES,,dos ninias,dwie dziewczynki,,,,,,
42,BLONDYNA_NEW_ES,,tu,twoj,,,,,,
43,BLONDYNA_NEW_ES,Un,artista,artysta,,,,,,
44,BLONDYNA_NEW_ES,,Que hace el,co on robi,,,,,,
45,BLONDYNA_NEW_ES,,El canta,on spiewa,,,,,,
46,BLONDYNA_NEW_ES,Una,maestra,nauczycielka,,,,,,
47,BLONDYNA_NEW_ES,,ella,ona,,,,,,
48,BLONDYNA_NEW_ES,,Que hace ella,co ona robi,,,,,,
49,BLONDYNA_NEW_ES,,Ella da clases,on uczy,,,,,,
50,BLONDYNA_NEW_ES,Una,escuela,szkola,,,,,,
51,BLONDYNA_NEW_ES,,Tu tienes,ty masz,,,,,,
52,BLONDYNA_NEW_ES,,donde,gdzie,,,,,,
53,BLONDYNA_NEW_ES,,Tu trabajas,pracujesz,,,,,,
54,BLONDYNA_NEW_ES,Una,oficina,biuro,,,,,,
55,SAMO_1,,esto,to,,,,,,
56,SAMO_1,Una,mesa,stol,,,,,,
57,SAMO_1,Una,lampara,lampa,,,,,,
58,SAMO_1,,y,i,,,,,,
59,SAMO_1,,aquello,tamto,,,,,,
60,SAMO_1,Una,silla,krzeslo,,,,,,
61,SAMO_1,Una,pluma,pioro,,,,,,
62,SAMO_1,Un,armario,szafa,,,,,,
63,SAMO_1,Una,leccion,lekcja,,,,,,
64,SAMO_1,Un,piano,pianino,,,,,,
65,SAMO_1,,primero,pierwszy,,,,,,
66,SAMO_1,Un,telefono,telefon,,,,,,
67,SAMO_1,Una,ventana,okno,,,,,,
68,SAMO_1,Una,butaca,fotel,,,,,,
69,SAMO_1,,segunda,druga,,,,,,
70,SAMO_1,Un,sombrero,kapelusz,,,,,,
71,SAMO_1,,como,jaki,,,,,,
72,SAMO_1,,negro,czarny,,,,,,
73,SAMO_1,,amarilla,zolta,,,,,,
74,SAMO_1,,tambien,takze,,,,,,
75,SAMO_1,Un,abrigo,plaszcz,,,,,,
76,SAMO_1,Una,tinta,atrament,,,,,,
77,SAMO_1,Un,tintero,kalamarz,,,,,,
78,SAMO_1,,blanco,bialy,,,,,,
79,SAMO_1,,verde,zielony,,,,,,
80,SAMO_1,,gris,szary,,,,,,
81,SAMO_1,Un,cigarrillo,papieros,,,,,,
82,SAMO_1,Una,cartera,teczka,,,,,,
83,SAMO_1,Una,cerilla,zapalka,,,,,,
84,SAMO_1,Un,clavel,gozdzik,,,,,,
85,SAMO_1,Una,copa,kielich,,,,,,
86,SAMO_1,Un,cubo,wiadro,,,,,,
87,SAMO_1,,no,nie,,,,,,
88,SAMO_1,,tercero,trzeci,,,,,,
89,SAMO_1,Un,gato,kot,,,,,,
90,SAMO_1,Un,perro,pies,,,,,,
91,SAMO_1,,bajo,pod,,,,,,
92,SAMO_1,Un,florero,wazon,,,,,,
93,SAMO_1,,en,w,,,,,,
94,SAMO_1,,cuarto,czwarty,,,,,,
95,SAMO_1,,sobre,na,,,,,,
0,,,de,,,,,,,
1,,,la,,,,,,,
2,,,que,,,,,,,
3,,,el,,,,,,,
4,,,en,,,,,,,
5,,,y,,,,,,,
6,,,a,,,,,,,
7,,,los,,,,,,,
8,,,se,,,,,,,
9,,,del,,,,,,,
10,,,las,,,,,,,
11,,,un,,,,,,,
12,,,por,,,,,,,
13,,,con,,,,,,,
14,,,no,,,,,,,
15,,,una,,,,,,,
16,,,su,,,,,,,
17,,,para,,,,,,,
18,,,es,,,,,,,
19,,,al,,,,,,,
20,,,lo,,,,,,,
21,,,como,,,,,,,
22,,,más,,,,,,,
23,,,o,,,,,,,
24,,,pero,,,,,,,
25,,,sus,,,,,,,
26,,,le,,,,,,,
27,,,ha,,,,,,,
28,,,me,,,,,,,
29,,,si,,,,,,,
30,,,sin,,,,,,,
31,,,sobre,,,,,,,
32,,,este,,,,,,,
33,,,ya,,,,,,,
34,,,entre,,,,,,,
35,,,cuando,,,,,,,
36,,,todo,,,,,,,
37,,,esta,,,,,,,
38,,,ser,,,,,,,
39,,,son,,,,,,,
40,,,dos,,,,,,,
41,,,también,,,,,,,
42,,,fue,,,,,,,
43,,,había,,,,,,,
44,,,era,,,,,,,
45,,,muy,,,,,,,
46,,,años,,,,,,,
47,,,hasta,,,,,,,
48,,,desde,,,,,,,
49,,,está,,,,,,,
50,,,mi,,,,,,,
51,,,porque,,,,,,,
52,,,qué,,,,,,,
53,,,sólo,,,,,,,
54,,,han,,,,,,,
55,,,yo,,,,,,,
56,,,hay,,,,,,,
57,,,vez,,,,,,,
58,,,puede,,,,,,,
59,,,todos,,,,,,,
60,,,así,,,,,,,
61,,,nos,,,,,,,
62,,,ni,,,,,,,
63,,,parte,,,,,,,
64,,,tiene,,,,,,,
65,,,él,,,,,,,
66,,,uno,,,,,,,
67,,,donde,,,,,,,
68,,,bien,,,,,,,
69,,,tiempo,,,,,,,
70,,,mismo,,,,,,,
71,,,ese,,,,,,,
72,,,ahora,,,,,,,
73,,,cada,,,,,,,
74,,,e,,,,,,,
75,,,vida,,,,,,,
76,,,otro,,,,,,,
77,,,después,,,,,,,
78,,,te,,,,,,,
79,,,otros,,,,,,,
80,,,aunque,,,,,,,
81,,,esa,,,,,,,
82,,,eso,,,,,,,
83,,,hace,,,,,,,
84,,,otra,,,,,,,
85,,,gobierno,,,,,,,
86,,,tan,,,,,,,
87,,,durante,,,,,,,
88,,,siempre,,,,,,,
89,,,día,,,,,,,
90,,,tanto,,,,,,,
91,,,ella,,,,,,,
92,,,tres,,,,,,,
93,,,sí,,,,,,,
94,,,dijo,,,,,,,
95,,,sido,,,,,,,
96,,,gran,,,,,,,
97,,,país,,,,,,,
98,,,según,,,,,,,
99,,,menos,,,,,,,
100,,,mundo,,,,,,,
101,,,año,,,,,,,
102,,,antes,,,,,,,
103,,,estado,,,,,,,
104,,,contra,,,,,,,
105,,,sino,,,,,,,
106,,,forma,,,,,,,
107,,,caso,,,,,,,
108,,,nada,,,,,,,
109,,,hacer,,,,,,,
110,,,general,,,,,,,
111,,,estaba,,,,,,,
112,,,poco,,,,,,,
113,,,estos,,,,,,,
114,,,presidente,,,,,,,
115,,,mayor,,,,,,,
116,,,ante,,,,,,,
117,,,unos,,,,,,,
118,,,les,,,,,,,
119,,,algo,,,,,,,
120,,,hacia,,,,,,,
121,,,casa,,,,,,,
122,,,ellos,,,,,,,
123,,,ayer,,,,,,,
124,,,hecho,,,,,,,
125,,,primera,,,,,,,
126,,,mucho,,,,,,,
127,,,mientras,,,,,,,
128,,,además,,,,,,,
129,,,quien,,,,,,,
130,,,momento,,,,,,,
131,,,millones,,,,,,,
132,,,esto,,,,,,,
133,,,españa,,,,,,,
134,,,hombre,,,,,,,
135,,,están,,,,,,,
136,,,pues,,,,,,,
137,,,hoy,,,,,,,
138,,,lugar,,,,,,,
139,,,madrid,,,,,,,
140,,,nacional,,,,,,,
141,,,trabajo,,,,,,,
142,,,otras,,,,,,,
143,,,mejor,,,,,,,
144,,,nuevo,,,,,,,
145,,,decir,,,,,,,
146,,,algunos,,,,,,,
147,,,entonces,,,,,,,
148,,,todas,,,,,,,
149,,,días,,,,,,,
150,,,debe,,,,,,,
151,,,política,,,,,,,
152,,,cómo,,,,,,,
153,,,casi,,,,,,,
154,,,toda,,,,,,,
155,,,tal,,,,,,,
156,,,luego,,,,,,,
157,,,pasado,,,,,,,
158,,,primer,,,,,,,
159,,,medio,,,,,,,
160,,,va,,,,,,,
161,,,estas,,,,,,,
162,,,sea,,,,,,,
163,,,tenía,,,,,,,
164,,,nunca,,,,,,,
165,,,poder,,,,,,,
166,,,aquí,,,,,,,
167,,,ver,,,,,,,
168,,,veces,,,,,,,
169,,,embargo,,,,,,,
170,,,partido,,,,,,,
